layer_name,file,int8_channels_len,binary_channels_len,int8_weights_shape,int8_weights_dtype,int8_scales_shape,int8_scales_dtype,binary_scales_shape,binary_scales_dtype,binary_bitvec_len,blocksize,codebook_idx_shape,codebook_idx_dtype,codebook_shape,codebook_dtype,original_shape
model.layers.0.self_attn.q_proj,quantized_layers/model__layers__0__self_attn__q_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.0.self_attn.k_proj,quantized_layers/model__layers__0__self_attn__k_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.0.self_attn.v_proj,quantized_layers/model__layers__0__self_attn__v_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.0.self_attn.o_proj,quantized_layers/model__layers__0__self_attn__o_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.0.mlp.gate_proj,quantized_layers/model__layers__0__mlp__gate_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.0.mlp.up_proj,quantized_layers/model__layers__0__mlp__up_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.0.mlp.down_proj,quantized_layers/model__layers__0__mlp__down_proj.npz,1,7,"[1, 5632]",int8,[1],float32,[2464],float32,2464,int,[2464],int32,"[256, 256]",float32,tuple
model.layers.1.self_attn.q_proj,quantized_layers/model__layers__1__self_attn__q_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.1.self_attn.k_proj,quantized_layers/model__layers__1__self_attn__k_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.1.self_attn.v_proj,quantized_layers/model__layers__1__self_attn__v_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.1.self_attn.o_proj,quantized_layers/model__layers__1__self_attn__o_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.1.mlp.gate_proj,quantized_layers/model__layers__1__mlp__gate_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.1.mlp.up_proj,quantized_layers/model__layers__1__mlp__up_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.1.mlp.down_proj,quantized_layers/model__layers__1__mlp__down_proj.npz,1,7,"[1, 5632]",int8,[1],float32,[2464],float32,2464,int,[2464],int32,"[256, 256]",float32,tuple
model.layers.2.self_attn.q_proj,quantized_layers/model__layers__2__self_attn__q_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.2.self_attn.k_proj,quantized_layers/model__layers__2__self_attn__k_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.2.self_attn.v_proj,quantized_layers/model__layers__2__self_attn__v_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.2.self_attn.o_proj,quantized_layers/model__layers__2__self_attn__o_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.2.mlp.gate_proj,quantized_layers/model__layers__2__mlp__gate_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.2.mlp.up_proj,quantized_layers/model__layers__2__mlp__up_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.2.mlp.down_proj,quantized_layers/model__layers__2__mlp__down_proj.npz,1,7,"[1, 5632]",int8,[1],float32,[2464],float32,2464,int,[2464],int32,"[256, 256]",float32,tuple
model.layers.3.self_attn.q_proj,quantized_layers/model__layers__3__self_attn__q_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.3.self_attn.k_proj,quantized_layers/model__layers__3__self_attn__k_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.3.self_attn.v_proj,quantized_layers/model__layers__3__self_attn__v_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.3.self_attn.o_proj,quantized_layers/model__layers__3__self_attn__o_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.3.mlp.gate_proj,quantized_layers/model__layers__3__mlp__gate_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.3.mlp.up_proj,quantized_layers/model__layers__3__mlp__up_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.3.mlp.down_proj,quantized_layers/model__layers__3__mlp__down_proj.npz,1,7,"[1, 5632]",int8,[1],float32,[2464],float32,2464,int,[2464],int32,"[256, 256]",float32,tuple
model.layers.4.self_attn.q_proj,quantized_layers/model__layers__4__self_attn__q_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.4.self_attn.k_proj,quantized_layers/model__layers__4__self_attn__k_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.4.self_attn.v_proj,quantized_layers/model__layers__4__self_attn__v_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.4.self_attn.o_proj,quantized_layers/model__layers__4__self_attn__o_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.4.mlp.gate_proj,quantized_layers/model__layers__4__mlp__gate_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.4.mlp.up_proj,quantized_layers/model__layers__4__mlp__up_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.4.mlp.down_proj,quantized_layers/model__layers__4__mlp__down_proj.npz,1,7,"[1, 5632]",int8,[1],float32,[2464],float32,2464,int,[2464],int32,"[256, 256]",float32,tuple
model.layers.5.self_attn.q_proj,quantized_layers/model__layers__5__self_attn__q_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.5.self_attn.k_proj,quantized_layers/model__layers__5__self_attn__k_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.5.self_attn.v_proj,quantized_layers/model__layers__5__self_attn__v_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.5.self_attn.o_proj,quantized_layers/model__layers__5__self_attn__o_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.5.mlp.gate_proj,quantized_layers/model__layers__5__mlp__gate_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.5.mlp.up_proj,quantized_layers/model__layers__5__mlp__up_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.5.mlp.down_proj,quantized_layers/model__layers__5__mlp__down_proj.npz,1,7,"[1, 5632]",int8,[1],float32,[2464],float32,2464,int,[2464],int32,"[256, 256]",float32,tuple
model.layers.6.self_attn.q_proj,quantized_layers/model__layers__6__self_attn__q_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.6.self_attn.k_proj,quantized_layers/model__layers__6__self_attn__k_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.6.self_attn.v_proj,quantized_layers/model__layers__6__self_attn__v_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.6.self_attn.o_proj,quantized_layers/model__layers__6__self_attn__o_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.6.mlp.gate_proj,quantized_layers/model__layers__6__mlp__gate_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.6.mlp.up_proj,quantized_layers/model__layers__6__mlp__up_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.6.mlp.down_proj,quantized_layers/model__layers__6__mlp__down_proj.npz,1,7,"[1, 5632]",int8,[1],float32,[2464],float32,2464,int,[2464],int32,"[256, 256]",float32,tuple
model.layers.7.self_attn.q_proj,quantized_layers/model__layers__7__self_attn__q_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.7.self_attn.k_proj,quantized_layers/model__layers__7__self_attn__k_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
