Star Language Model Training
============================
Data file: "data\\star_corpus_v1.txt"
Epochs: 1
Sequence length: 128
Batch size: 32
Hidden size: 256

Vocabulary size: 227
Loaded 12481 conversations
Creating model with 227 parameters...
Model has 926883 parameters

Starting training...
Training with 58267 sequences
Learning rate: 0.001, Gradient clip: 5
Epoch 1 Batch 0/1820 Loss: 668.8674
Epoch 1 Batch 10/1820 Loss: 481.1872
Epoch 1 Batch 20/1820 Loss: 469.9884
Epoch 1 Batch 30/1820 Loss: 465.5740
Epoch 1 Batch 40/1820 Loss: 464.8843
Epoch 1 Batch 50/1820 Loss: 464.6645
Epoch 1 Batch 60/1820 Loss: 464.2113
Epoch 1 Batch 70/1820 Loss: 465.0475
Epoch 1 Batch 80/1820 Loss: 464.5623
Epoch 1 Batch 90/1820 Loss: 464.5361
Epoch 1 Batch 100/1820 Loss: 463.0541
Epoch 1 Batch 110/1820 Loss: 459.9048
Epoch 1 Batch 120/1820 Loss: 455.7990
Epoch 1 Batch 130/1820 Loss: 452.1316
Epoch 1 Batch 140/1820 Loss: 450.0328
Epoch 1 Batch 150/1820 Loss: 448.6321
Epoch 1 Batch 160/1820 Loss: 450.9856
Epoch 1 Batch 170/1820 Loss: 461.1974
Epoch 1 Batch 180/1820 Loss: 477.1576
Epoch 1 Batch 190/1820 Loss: 497.6376
Epoch 1 Batch 200/1820 Loss: 522.8448
Epoch 1 Batch 210/1820 Loss: 552.8003
Epoch 1 Batch 220/1820 Loss: 584.1295
Epoch 1 Batch 230/1820 Loss: 619.3360
Epoch 1 Batch 240/1820 Loss: 655.3555
Epoch 1 Batch 250/1820 Loss: 693.3783
Epoch 1 Batch 260/1820 Loss: 729.3955
Epoch 1 Batch 270/1820 Loss: 765.7747
Epoch 1 Batch 280/1820 Loss: 804.4417
Epoch 1 Batch 290/1820 Loss: 843.3734
Epoch 1 Batch 300/1820 Loss: 882.4313
Epoch 1 Batch 310/1820 Loss: 919.9926
Epoch 1 Batch 320/1820 Loss: 956.9157
Epoch 1 Batch 330/1820 Loss: 992.3442
Epoch 1 Batch 340/1820 Loss: 1029.0403
Epoch 1 Batch 350/1820 Loss: 1066.9595
Epoch 1 Batch 360/1820 Loss: 1100.8849
